2023-08-25 00:28:12,376 INFO  BatteryController:42 - [] This log message will be written to the file.
2023-08-25 22:28:43,772 INFO  BatteryController$RegistrationTask:112 - [] Battery registered :BatteryDto(name=Aziz, postcode=100, capacity=10)
2023-08-25 22:40:37,966 INFO  BatteryController$RegistrationTask:116 - [] Battery registered :BatteryDto(name=hjyj, postcode=400, capacity=40)
2023-08-25 22:40:37,967 INFO  BatteryController$RegistrationTask:116 - [] Battery registered :BatteryDto(name=Aziz, postcode=500, capacity=50)
2023-08-25 22:40:37,967 INFO  BatteryController$RegistrationTask:116 - [] Battery registered :BatteryDto(name=rtr, postcode=600, capacity=60)
2023-08-25 22:40:37,968 INFO  BatteryController$RegistrationTask:116 - [] Battery registered :BatteryDto(name=rter, postcode=700, capacity=70)
2023-08-25 22:40:37,969 INFO  BatteryController$RegistrationTask:116 - [] Battery registered :BatteryDto(name=rtrt, postcode=800, capacity=80)
2023-08-25 22:40:37,970 INFO  BatteryController$RegistrationTask:116 - [] Battery registered :BatteryDto(name=rgrgt, postcode=900, capacity=90)
2023-08-25 22:40:37,971 INFO  BatteryController$RegistrationTask:116 - [] Battery registered :BatteryDto(name=fdf, postcode=1000, capacity=100)
2023-08-25 22:55:09,979 INFO  BatteryController$RegistrationTask:109 - [] Battery registered :BatteryDto(name=Aziz, postcode=100, capacity=10)
2023-08-25 22:55:09,981 INFO  BatteryController$RegistrationTask:109 - [] Battery registered :BatteryDto(name=arva, postcode=200, capacity=20)
2023-08-25 22:55:09,982 INFO  BatteryController$RegistrationTask:109 - [] Battery registered :BatteryDto(name=kukuk, postcode=300, capacity=30)
2023-08-25 22:55:09,983 INFO  BatteryController$RegistrationTask:109 - [] Battery registered :BatteryDto(name=hjyj, postcode=400, capacity=40)
2023-08-25 22:55:09,984 INFO  BatteryController$RegistrationTask:109 - [] Battery registered :BatteryDto(name=Aziz, postcode=500, capacity=50)
2023-08-25 22:55:09,985 INFO  BatteryController$RegistrationTask:109 - [] Battery registered :BatteryDto(name=rtr, postcode=600, capacity=60)
2023-08-25 22:55:09,985 INFO  BatteryController$RegistrationTask:109 - [] Battery registered :BatteryDto(name=rter, postcode=700, capacity=70)
2023-08-25 22:55:09,987 INFO  BatteryController$RegistrationTask:109 - [] Battery registered :BatteryDto(name=rtrt, postcode=800, capacity=80)
2023-08-25 22:55:09,988 INFO  BatteryController$RegistrationTask:109 - [] Battery registered :BatteryDto(name=rgrgt, postcode=900, capacity=90)
2023-08-25 22:55:09,989 INFO  BatteryController$RegistrationTask:109 - [] Battery registered :BatteryDto(name=fdf, postcode=1000, capacity=100)
